Album,Popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence
2,55.0,0.14246181818181822,0.5720000000000001,0.6481818181818182,0.18438863636363634,0.1947727272727273,0.05048181818181818,120.25754545454546,0.5646363636363637
2012 - 2017,43.81818181818182,0.17366018181818182,0.7579090909090911,0.7945454545454546,0.6456765454545454,0.14304545454545453,0.06189999999999998,113.09572727272726,0.3178181818181818
7,52.54545454545455,0.34864545454545454,0.3730909090909091,0.660090909090909,0.7651363636363636,0.17594545454545452,0.031400000000000004,109.24336363636365,0.24687272727272733
A Deeper Understanding,56.8,0.1748125,0.44800000000000006,0.7253000000000001,0.13270189999999998,0.10919000000000001,0.04274,120.78959999999998,0.39334
A Moon Shaped Pool,55.90909090909091,0.6736818181818183,0.42509090909090913,0.4060909090909091,0.5655454545454546,0.15876363636363636,0.03427272727272727,124.2259090909091,0.20103636363636365
AM,69.08333333333333,0.13447475,0.5376666666666666,0.6389166666666667,0.03728713,0.16954166666666667,0.039525000000000005,112.97841666666666,0.6018333333333334
ASTROWORLD,84.29411764705883,0.13048588235294117,0.6867647058823529,0.6394117647058825,0.00040479705882352936,0.19024117647058825,0.09473529411764704,135.85358823529415,0.3175823529411765
Absolution,47.5,0.36483266666666675,0.34253333333333336,0.5661166666666666,0.24246867499999994,0.174875,0.049325,131.04749999999999,0.2299
Altered State,39.3,0.014158299999999999,0.37354,0.8046,0.031143833000000003,0.23840000000000003,0.060809999999999996,122.96460000000002,0.25754
An Awesome Wave,52.57142857142857,0.6398857142857144,0.5297142857142857,0.44934999999999997,0.2776435714285715,0.1393357142857143,0.06805714285714284,127.61828571428573,0.27242857142857146
Antidotes,1.3571428571428572,0.07487999999999999,0.5747142857142856,0.8745714285714288,0.37765435714285717,0.18281428571428568,0.05980714285714287,143.11478571428572,0.5787142857142857
Antisocialites,48.7,0.10879240000000001,0.33680000000000004,0.7210000000000001,0.185350301,0.25281000000000003,0.047099999999999996,140.7861,0.30889999999999995
Arca,34.61538461538461,0.40648230769230764,0.28192307692307694,0.4116923076923078,0.32710999999999996,0.15829230769230768,0.1039923076923077,113.77315384615386,0.13453076923076923
Autumn Eternal,20.75,0.07848005,0.20713749999999997,0.848875,0.8307499999999999,0.3325,0.0902125,131.6425,0.151125
"Bark Your Head Off, Dog",42.888888888888886,0.26839999999999997,0.5787777777777777,0.6177777777777779,1.894222222222222e-05,0.21184444444444445,0.03231111111111112,115.8881111111111,0.6292222222222222
Beauty Behind The Madness,35.714285714285715,0.21450714285714284,0.5362142857142856,0.5197857142857144,0.00046632428571428573,0.18089285714285713,0.05569285714285714,121.18149999999999,0.2888285714285715
Benji,35.36363636363637,0.8742727272727272,0.6157272727272727,0.3190909090909091,0.0031049772727272727,0.14205454545454543,0.04313636363636363,105.77272727272727,0.5027272727272728
Beyondless,38.8,0.03806174,0.24259999999999998,0.8581,0.04392116,0.17563,0.07001,118.23169999999998,0.34181999999999996
Black Holes And Revelations,53.7,0.166505,0.40519999999999995,0.7800999999999999,0.05269998,0.23813,0.06301999999999999,117.7393,0.38560999999999995
Blackbird,54.0,0.00499,0.27899999999999997,0.8059999999999999,0.0126,0.11599999999999999,0.0448,149.463,0.132
Blackstar,58.0,0.0466,0.66,0.695,0.145,0.0854,0.028999999999999998,129.972,0.506
Blonde,34.6764705882353,0.7193529411764706,0.5017941176470588,0.3969941176470589,0.0019056644117647057,0.2095823529411765,0.19124411764705881,109.6050294117647,0.44462352941176464
Blood Bank,55.0,0.9585,0.4875,0.30525,0.34114999999999995,0.104125,0.048525,100.05675000000001,0.13595000000000002
Bloom,29.9,0.14070500000000002,0.3706999999999999,0.6071071499999999,0.129897712,0.18759,0.03229,139.06289999999998,0.29186
Bon Iver,27.7,0.9445,0.40659999999999996,0.26922,0.4298,0.18826,0.03749,122.84470000000002,0.21256
Brutalism,41.76923076923077,0.06161085384615384,0.3861538461538461,0.8544615384615385,0.058752355384615394,0.2836923076923077,0.08106153846153846,130.11023076923072,0.3395384615384615
Cardinal,46.25,0.395605,0.366,0.5972500000000001,0.00115147125,0.268125,0.05415000000000001,120.632,0.312125
Carrie & Lowell,28.6,0.9666,0.43549999999999994,0.15738000000000002,0.170666399,0.13547,0.04093000000000001,132.0321,0.30678
City Of Evil (PA Version),54.72727272727273,0.0029287000000000007,0.38472727272727275,0.9162727272727273,0.0006822290909090907,0.23771818181818186,0.06009090909090909,142.24609090909092,0.41654545454545455
Con Todo El Mundo,16.2,0.11511680000000002,0.6054999999999999,0.43689999999999996,0.8431999999999998,0.32893999999999995,0.04683,108.6291,0.6574000000000002
Contra,46.8,0.17175800000000002,0.6066,0.6822,0.06723174199999998,0.15921000000000002,0.13884000000000002,150.1873,0.7358
Crack-Up,49.72727272727273,0.44718181818181824,0.37554545454545457,0.4744545454545456,0.2089857272727273,0.26018181818181824,0.03389090909090909,124.58081818181817,0.16240909090909092
Crumbling 무너지기,25.625,0.57275,0.388625,0.61825,0.24158000000000002,0.313125,0.058499999999999996,133.16325,0.174825
Currents,30.692307692307693,0.16495207692307692,0.5012307692307693,0.7050000000000001,0.19679907692307694,0.16292307692307692,0.05803076923076922,130.8653846153846,0.48515384615384616
Currents B-Sides & Remixes,18.0,0.20063999999999999,0.5898,0.7576,0.38330200000000003,0.20198,0.051660000000000005,108.19980000000001,0.41880000000000006
DAMN.,35.0,0.19440999999999997,0.6525833333333334,0.5675833333333334,0.007818341666666666,0.23528333333333337,0.277175,124.86483333333335,0.48533333333333334
