,track,artist,albums,date,time
592,Leaf House,Animal Collective,Sung Tongs,14 Sep 2018,19:10
593,If You're Feeling Sinister,Belle and Sebastian,If You're Feeling Sinister,14 Sep 2018,19:06
594,The Funeral,Band of Horses,Everything All the Time,14 Sep 2018,19:00
595,Prior Things,Hop Along,"Bark Your Head Off, Dog",14 Sep 2018,18:54
596,The Predatory Wasp of the Palisades Is Out to Get Us,Sufjan Stevens,Illinois,14 Sep 2018,18:48
597,Your Best American Girl,Mitski,Puberty 2,14 Sep 2018,18:44
598,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,14 Sep 2018,18:35
599,Dogs,Sun Kil Moon,Benji,14 Sep 2018,18:29
600,Truck Driver,Sun Kil Moon,Benji,14 Sep 2018,18:25
601,I Can't Live Without My Mother's Love,Sun Kil Moon,Benji,14 Sep 2018,18:21
602,Carissa,Sun Kil Moon,Benji,14 Sep 2018,18:14
603,I Can't Live Without My Mother's Love,Sun Kil Moon,Benji,14 Sep 2018,15:21
604,Carissa,Sun Kil Moon,Benji,14 Sep 2018,15:14
605,Ben's My Friend,Sun Kil Moon,Benji,14 Sep 2018,15:09
606,Micheline,Sun Kil Moon,Benji,14 Sep 2018,14:45
607,Richard Ramirez Died Today of Natural Causes,Sun Kil Moon,Benji,14 Sep 2018,14:39
608,I Watched the Film The Song Remains the Same,Sun Kil Moon,Benji,14 Sep 2018,14:28
609,Jim Wise,Sun Kil Moon,Benji,14 Sep 2018,12:52
610,Pray for Newtown,Sun Kil Moon,Benji,14 Sep 2018,12:48
611,Dogs,Sun Kil Moon,Benji,14 Sep 2018,12:42
612,Truck Driver,Sun Kil Moon,Benji,14 Sep 2018,12:38
613,I Can't Live Without My Mother's Love,Sun Kil Moon,Benji,14 Sep 2018,12:34
614,Carissa,Sun Kil Moon,Benji,14 Sep 2018,12:28
615,Carissa,Sun Kil Moon,Benji,14 Sep 2018,12:22
616,2:45 AM,Elliott Smith,Either/Or,14 Sep 2018,12:17
617,Title and Registration,Death Cab for Cutie,Transatlanticism,14 Sep 2018,12:13
618,Daydreaming,Radiohead,A Moon Shaped Pool,14 Sep 2018,12:06
619,"On a Neck, On a Spit",Grizzly Bear,Yellow House,14 Sep 2018,12:01
620,Scott Street,Phoebe Bridgers,Stranger in the Alps,14 Sep 2018,11:56
621,'Cello Song,Nick Drake,Five Leaves Left,14 Sep 2018,11:51
622,The Only Living Boy in New York,Simon & Garfunkel,Garden State - Music From The Motion Picture,14 Sep 2018,11:47
623,Carissa,Sun Kil Moon,Benji,14 Sep 2018,11:40
624,We're Going to Be Friends,The White Stripes,White Blood Cells,14 Sep 2018,11:38
625,Fade Into You,Mazzy Star,So Tonight That I Might See,14 Sep 2018,11:32
626,If You're Feeling Sinister,Belle and Sebastian,If You're Feeling Sinister,14 Sep 2018,11:27
627,Tangled Up in Blue,Bob Dylan,Blood on the Tracks,14 Sep 2018,11:21
628,Ivy,Frank Ocean,Blonde,14 Sep 2018,11:17
629,New Slang,The Shins,"Oh, Inverted World",14 Sep 2018,11:13
630,Shark Smile,Big Thief,Capacity,14 Sep 2018,11:08
631,Rebellion (Lies),Arcade Fire,Funeral,14 Sep 2018,11:03
632,Leaf House,Animal Collective,Sung Tongs,14 Sep 2018,11:00
633,I Want Wind to Blow,The Microphones,"The Glow, Pt. 2",14 Sep 2018,10:55
634,Campus,Vampire Weekend,Vampire Weekend,14 Sep 2018,10:52
635,Never Meant,American Football,American Football,14 Sep 2018,10:47
636,Holocene,Bon Iver,Bon Iver,14 Sep 2018,10:42
637,Blue Ridge Mountains,Fleet Foxes,Fleet Foxes,14 Sep 2018,10:37
638,Autumn Sweater,Yo La Tengo,I Can Hear the Heart Beating as One,14 Sep 2018,10:32
639,Live In Dreams,Wild Nothing,Gemini,14 Sep 2018,10:27
640,"Island, IS",Volcano Choir,Unmap,14 Sep 2018,10:23
641,Snooze 4 Love,Todd Terje,Ragysh,14 Sep 2018,10:15
642,King Night,Salem,King Night,14 Sep 2018,10:11
643,Out Getting Ribs,King Krule,6 Feet Beneath The Moon,14 Sep 2018,10:07
644,Ecstasy,jj,JJ Nº 2,14 Sep 2018,10:03
645,Strawberry Skies,Games,That We Can Play,14 Sep 2018,09:48
646,Moth's Wings,Passion Pit,Manners,14 Sep 2018,09:43
647,Tell The World,Vivian Girls,Vivian Girls,14 Sep 2018,09:40
648,Believer,John Maus,We Must Become the Pitiless Censors of Ourselves,14 Sep 2018,09:37
649,Out of Tune,Real Estate,Days,14 Sep 2018,09:32
650,Lately (Deuxième),Memoryhouse,The Years,14 Sep 2018,09:29
651,Blood Bank,Bon Iver,Blood Bank,14 Sep 2018,09:24
652,Elegance,Kilo Kish,Elegance,13 Sep 2018,19:39
653,Suspirium,Thom Yorke,Suspirium,13 Sep 2018,19:36
654,Bassackwards,Kurt Vile,Bassackwards,13 Sep 2018,19:25
655,Over Everything,Courtney Barnett,Lotta Sea Lice,13 Sep 2018,14:35
656,Dust Bunnies,Kurt Vile,b'lieve i'm goin down...,13 Sep 2018,14:31
657,Lost my Head there,Kurt Vile,b'lieve i'm goin down...,13 Sep 2018,14:24
658,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,13 Sep 2018,14:14
659,LOADING ZONES,Kurt Vile,Loading Zones,13 Sep 2018,14:11
660,Pretty Pimpin,Kurt Vile,b'lieve i'm goin down...,13 Sep 2018,14:06
661,Scotty Pippen,YBN Cordae,Scotty Pippen,13 Sep 2018,13:31
662,Elegance,Kilo Kish,Elegance,13 Sep 2018,13:28
663,Suspirium,Thom Yorke,Suspirium,13 Sep 2018,13:24
664,The Ringer,Eminem,Kamikaze,13 Sep 2018,13:19
665,Bassackwards,Kurt Vile,Bassackwards,13 Sep 2018,13:09
666,Into the Black,Chromatics,Kill for Love,12 Sep 2018,19:15
667,Helicopter,Deerhunter,Halcyon Digest,12 Sep 2018,19:11
668,Helicopter,Deerhunter,Halcyon Digest,12 Sep 2018,19:05
669,Doused,DIIV,Oshin,12 Sep 2018,19:00
670,I Only Know - What I Know Now,James Blake,Klavierwerke EP,12 Sep 2018,18:52
671,CMYK,James Blake,CMYK EP,12 Sep 2018,18:48
672,Polish Girl,Neon Indian,Era Extraña,12 Sep 2018,18:43
673,Shot Gun Shack,Neneh Cherry,Shot Gun Shack,12 Sep 2018,18:41
674,Blue Light,Mitski,Be the Cowboy,12 Sep 2018,18:38
675,Washing Machine Heart,Mitski,Be the Cowboy,12 Sep 2018,18:36
676,Two Slow Dancers,Mitski,Be the Cowboy,12 Sep 2018,18:36
677,"On a Neck, On a Spit",Grizzly Bear,Yellow House,12 Sep 2018,12:08
678,Knife,Grizzly Bear,Yellow House,12 Sep 2018,12:03
679,Two Weeks,Grizzly Bear,Veckatimest,12 Sep 2018,11:59
680,Oblivion,Grimes,Visions,12 Sep 2018,11:55
681,Cant Hear My Eyes,Ariel Pink,Before Today,12 Sep 2018,11:20
682,Round and Round,Ariel Pink,Before Today,12 Sep 2018,11:15
683,bright Lit blue skies,Ariel Pink,Before Today,12 Sep 2018,11:13
684,Fireworks,Animal Collective,Strawberry Jam,12 Sep 2018,11:06
685,Memory Boy,Deerhunter,Halcyon Digest,12 Sep 2018,11:02
686,Sailing,Deerhunter,Halcyon Digest,12 Sep 2018,10:57
687,Revival,Deerhunter,Halcyon Digest,12 Sep 2018,10:55
688,Helicopter,Deerhunter,Halcyon Digest,12 Sep 2018,10:50
689,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,12 Sep 2018,08:18
690,We Own the Sky,M83,Saturdays = Youth,12 Sep 2018,08:13
691,Up!,M83,Saturdays = Youth,12 Sep 2018,08:08
692,Couleurs,M83,Saturdays = Youth,12 Sep 2018,08:00
693,Graveyard Girl,M83,Saturdays = Youth,11 Sep 2018,07:55
694,Skin of the Night,M83,Saturdays = Youth,11 Sep 2018,07:49
695,Kim & Jessie,M83,Saturdays = Youth,11 Sep 2018,07:43
696,You Appearing,M83,Saturdays = Youth,11 Sep 2018,07:39
697,Two Slow Dancers,Mitski,Be the Cowboy,11 Sep 2018,23:54
698,Nobody,Mitski,Be the Cowboy,11 Sep 2018,23:53
699,Disarray,Low,Disarray,11 Sep 2018,23:46
700,Think I'm Still In Love With You,Joyce Manor,Think I'm Still In Love With You,11 Sep 2018,23:43
701,Elegance,Kilo Kish,Elegance,11 Sep 2018,23:38
702,Helicopter,Deerhunter,Halcyon Digest,11 Sep 2018,23:35
703,Helicopter,Deerhunter,Halcyon Digest,11 Sep 2018,23:30
704,LOADING ZONES,Kurt Vile,Loading Zones,11 Sep 2018,23:27
705,Secrets,Kitten,Secrets,11 Sep 2018,23:24
706,The District Sleeps Alone Tonight,The Postal Service,Give Up,11 Sep 2018,23:21
707,A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",11 Sep 2018,23:15
708,Crying Lightning,Arctic Monkeys,Humbug,11 Sep 2018,23:13
709,Was All Talk,Kurt Vile,Wakin On A Pretty Daze,11 Sep 2018,21:59
710,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,11 Sep 2018,21:48
711,Scotty Pippen,YBN Cordae,Scotty Pippen,11 Sep 2018,19:02
712,Elegance,Kilo Kish,Elegance,11 Sep 2018,18:58
713,Suspirium,Thom Yorke,Suspirium,11 Sep 2018,18:55
714,Bassackwards,Kurt Vile,Bassackwards,11 Sep 2018,18:45
715,Bassackwards,Kurt Vile,Bassackwards,11 Sep 2018,09:16
716,Now Found Is The Fairest Of Roses (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:57
717,The Dromer (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:54
718,Hur var du i aftes så sildig (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:52
719,Fastän (Arr. For String Quartet),Eva Sæhter,Last Leaf,10 Sep 2018,01:50
720,Unst Boat Song (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:45
721,Naja's Waltz,Fredrik Sjölin,Last Leaf,10 Sep 2018,01:41
722,Stædelil (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:39
723,Drømte mig en drøm (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:35
724,Shine You No More,Rune Tonsgaard Sorensen,Last Leaf,10 Sep 2018,01:31
725,Intermezzo,Fredrik Sjölin,Last Leaf,10 Sep 2018,01:30
726,Æ Rømeser (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:26
727,Minuet No. 60 (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:23
728,Tjønneblomen (Arr. For String Quartet),Gjermund Haugen,Last Leaf,10 Sep 2018,01:19
729,Polska From Dorotea (Arr. For String Quartet),Traditional,Last Leaf,10 Sep 2018,01:16
730,Shore,Fredrik Sjölin,Last Leaf,10 Sep 2018,01:13
731,"Despair Not, O Heart (Arr. For String Quartet)",Traditional,Last Leaf,10 Sep 2018,01:12
732,Elegance,Kilo Kish,Elegance,10 Sep 2018,23:21
733,Suspirium,Thom Yorke,Suspirium,10 Sep 2018,23:17
734,Bassackwards,Kurt Vile,Bassackwards,10 Sep 2018,23:07
735,Bassackwards,Kurt Vile,Bassackwards,10 Sep 2018,22:52
736,Helicopter,Deerhunter,Halcyon Digest,10 Sep 2018,22:07
737,I Shall Love 2 - Edit,Julia Holter,I Shall Love 2,10 Sep 2018,22:02
738,Kim & Jessie,M83,Saturdays = Youth,10 Sep 2018,21:46
739,You Appearing,M83,Saturdays = Youth,10 Sep 2018,21:42
740,He Would Have Laughed,Deerhunter,Halcyon Digest,10 Sep 2018,21:35
741,Helicopter,Deerhunter,Halcyon Digest,10 Sep 2018,20:08
742,Revival,Deerhunter,Halcyon Digest,10 Sep 2018,19:55
743,Don’t Cry,Deerhunter,Halcyon Digest,10 Sep 2018,19:52
744,Helicopter,Deerhunter,Halcyon Digest,10 Sep 2018,19:47
745,Earthquake,Deerhunter,Halcyon Digest,10 Sep 2018,19:41
746,Age Of Consent - 2015 Remastered Version,New Order,"Power, Corruption & Lies",10 Sep 2018,19:36
747,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,10 Sep 2018,19:27
748,Couleurs,M83,Saturdays = Youth,10 Sep 2018,14:36
749,Graveyard Girl,M83,Saturdays = Youth,10 Sep 2018,14:31
750,Skin of the Night,M83,Saturdays = Youth,10 Sep 2018,14:25
751,Kim & Jessie,M83,Saturdays = Youth,10 Sep 2018,14:19
752,You Appearing,M83,Saturdays = Youth,10 Sep 2018,13:12
753,Faith In Nothing Except In Salvation,Yves Tumor,Safe In The Hands Of Love,10 Sep 2018,13:10
754,Grown Ocean,Fleet Foxes,Helplessness Blues,10 Sep 2018,11:03
755,Blue Spotted Tail,Fleet Foxes,Helplessness Blues,10 Sep 2018,11:00
756,The Shrine / An Argument,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:52
757,Someone You'd Admire,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:50
758,Lorelai,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:45
759,The Cascades,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:43
760,Helplessness Blues,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:38
761,The Plains / Bitter Dancer,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:32
762,Battery Kinzie,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:29
763,Sim Sala Bim,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:26
764,Bedouin Dress,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:21
765,Montezuma,Fleet Foxes,Helplessness Blues,10 Sep 2018,10:18
766,KV Crimes,Kurt Vile,Wakin On A Pretty Daze,10 Sep 2018,10:13
767,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,10 Sep 2018,10:03
768,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,09 Sep 2018,20:58
769,Goldtone,Kurt Vile,Wakin On A Pretty Daze,09 Sep 2018,20:30
770,LOADING ZONES,Kurt Vile,Loading Zones,09 Sep 2018,18:58
771,PERCS | PERCZ,Denzel Curry,TA13OO,09 Sep 2018,18:55
772,kick in the world,Harunemuri,kick in the world,09 Sep 2018,18:52
773,Scotty Pippen,YBN Cordae,Scotty Pippen,09 Sep 2018,18:50
774,Jumpsuit,Twenty One Pilots,Jumpsuit / Levitate / Nico And The Niners,08 Sep 2018,07:28
775,Disarray,Low,Disarray,08 Sep 2018,07:24
776,Think I'm Still In Love With You,Joyce Manor,Think I'm Still In Love With You,08 Sep 2018,07:21
777,Animal,Troye Sivan,Animal,08 Sep 2018,07:17
778,Drown,Cuco,Drown,08 Sep 2018,07:13
779,BLACK WALLS,Chromatics,Black Walls,08 Sep 2018,07:09
780,Nappy Wonder,Blood Orange,Negro Swan,08 Sep 2018,07:06
781,When I'm with Him,Empress Of,When I'm With Him,08 Sep 2018,06:32
782,The Echo Of The World,Cloud Nothings,The Echo of the World,08 Sep 2018,06:28
783,LOADING ZONES,Kurt Vile,Loading Zones,08 Sep 2018,06:24
784,PERCS | PERCZ,Denzel Curry,TA13OO,08 Sep 2018,06:21
785,kick in the world,Harunemuri,kick in the world,08 Sep 2018,06:18
786,Scotty Pippen,YBN Cordae,Scotty Pippen,08 Sep 2018,06:16
787,Elegance,Kilo Kish,Elegance,08 Sep 2018,06:12
788,Suspirium,Thom Yorke,Suspirium,08 Sep 2018,06:09
789,Suspended in This Disaster,Dance Gavin Dance,Artificial Selection,08 Sep 2018,14:34
790,Suspirium,Thom Yorke,Suspirium,08 Sep 2018,14:31
791,KV Crimes,Kurt Vile,Wakin On A Pretty Daze,06 Sep 2018,20:23
792,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,06 Sep 2018,20:13
793,Age Of Consent - 2015 Remastered Version,New Order,"Power, Corruption & Lies",06 Sep 2018,19:55
794,Kim & Jessie,M83,Saturdays = Youth,06 Sep 2018,19:34
795,We Own the Sky,M83,Saturdays = Youth,06 Sep 2018,19:29
796,Drown,Cuco,Drown,06 Sep 2018,19:25
797,BLACK WALLS,Chromatics,Black Walls,06 Sep 2018,19:21
798,Nappy Wonder,Blood Orange,Negro Swan,06 Sep 2018,19:18
799,When I'm with Him,Empress Of,When I'm With Him,06 Sep 2018,18:54
800,The Echo Of The World,Cloud Nothings,The Echo of the World,06 Sep 2018,18:50
801,LOADING ZONES,Kurt Vile,Loading Zones,06 Sep 2018,18:46
802,PERCS | PERCZ,Denzel Curry,TA13OO,06 Sep 2018,18:22
803,kick in the world,Harunemuri,kick in the world,06 Sep 2018,18:19
804,Scotty Pippen,YBN Cordae,Scotty Pippen,06 Sep 2018,18:17
805,Think I'm Still In Love With You,Joyce Manor,Think I'm Still In Love With You,05 Sep 2018,14:28
806,Animal,Troye Sivan,Animal,05 Sep 2018,14:24
807,Drown,Cuco,Drown,05 Sep 2018,14:20
808,Nappy Wonder,Blood Orange,Negro Swan,05 Sep 2018,13:02
809,When I'm with Him,Empress Of,When I'm With Him,05 Sep 2018,12:59
810,The Echo Of The World,Cloud Nothings,The Echo of the World,05 Sep 2018,12:55
811,LOADING ZONES,Kurt Vile,Loading Zones,05 Sep 2018,12:52
812,PERCS | PERCZ,Denzel Curry,TA13OO,05 Sep 2018,12:49
813,Elegance,Kilo Kish,Elegance,05 Sep 2018,12:39
814,Scotty Pippen,YBN Cordae,Scotty Pippen,04 Sep 2018,20:36
815,Drown,Cuco,Drown,04 Sep 2018,19:19
816,BLACK WALLS,Chromatics,Black Walls,04 Sep 2018,17:34
817,Nappy Wonder,Blood Orange,Negro Swan,04 Sep 2018,17:31
818,Elegance,Kilo Kish,Elegance,04 Sep 2018,17:28
819,When I'm with Him,Empress Of,When I'm With Him,04 Sep 2018,17:24
820,The Echo Of The World,Cloud Nothings,The Echo of the World,04 Sep 2018,17:21
821,LOADING ZONES,Kurt Vile,Loading Zones,04 Sep 2018,17:17
822,PERCS | PERCZ,Denzel Curry,TA13OO,04 Sep 2018,17:14
823,kick in the world,Harunemuri,kick in the world,04 Sep 2018,17:11
824,Scotty Pippen,YBN Cordae,Scotty Pippen,04 Sep 2018,17:08
825,Ready To Die,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:32
826,Les OS,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:29
827,Inoculate The Innocuous,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:23
828,Tuff Luff,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:19
829,I Was Born (A Unicorn),The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:16
830,Let's Get Known,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:14
831,Child Star,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:09
832,The Clap,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:08
833,Jellybones,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:05
834,Sea Ghost,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,18:01
835,Ghost Mountain,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,17:58
836,Tuff Ghost,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,17:55
837,I Don't Wanna Die,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),02 Sep 2018,17:53
838,Girl Called Alex,Kurt Vile,Wakin On A Pretty Daze,02 Sep 2018,17:49
839,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,02 Sep 2018,15:14
840,LOADING ZONES,Kurt Vile,Loading Zones,02 Sep 2018,15:11
841,Pretty Pimpin,Kurt Vile,b'lieve i'm goin down...,02 Sep 2018,15:06
842,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,02 Sep 2018,15:00
843,Venom - Music From The Motion Picture,Eminem,Kamikaze,02 Sep 2018,14:42
844,Good Guy (feat. Jessie Reyez),Eminem,Kamikaze,02 Sep 2018,14:41
845,Nice Guy (with Jessie Reyez),Eminem,Kamikaze,02 Sep 2018,14:38
846,Fall,Eminem,Kamikaze,02 Sep 2018,14:36
847,Kamikaze,Eminem,Kamikaze,02 Sep 2018,14:32
848,Not Alike (feat. Royce Da 5'9),Eminem,Kamikaze,02 Sep 2018,14:20
849,Stepping Stone,Eminem,Kamikaze,02 Sep 2018,14:11
850,Em Calls Paul - Skit,Eminem,Kamikaze,02 Sep 2018,14:10
851,Normal,Eminem,Kamikaze,02 Sep 2018,14:07
852,Paul - Skit,Paul Rosenberg,Kamikaze,02 Sep 2018,14:06
853,Lucky You (feat. Joyner Lucas),Eminem,Kamikaze,02 Sep 2018,14:02
854,Greatest,Eminem,Kamikaze,02 Sep 2018,13:58
855,The Ringer,Eminem,Kamikaze,02 Sep 2018,13:52
856,Self Care,Mac Miller,Self Care,01 Sep 2018,20:56
857,1997 DIANA,BROCKHAMPTON,1997 DIANA,01 Sep 2018,20:53
858,If You Give Enough,The Lemon Twigs,If You Give Enough,01 Sep 2018,20:51
859,Dark Saturday,Metric,Dark Saturday,01 Sep 2018,20:47
860,La Di Da,The Internet,La Di Da,01 Sep 2018,20:43
861,STOP TRYING TO BE GOD,Travi$ Scott,ASTROWORLD,01 Sep 2018,20:38
862,SICKO MODE,Travi$ Scott,ASTROWORLD,01 Sep 2018,20:32
863,Rank & File,Moses Sumney,Rank & File,01 Sep 2018,20:29
864,Praise The Lord (Da Shine),A$AP Rocky,TESTING,01 Sep 2018,20:25
865,CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,TA13OO,01 Sep 2018,20:21
866,CLOUT COBAIN | CLOUT CO13A1N,Denzel Curry,TA13OO,01 Sep 2018,20:18
867,Stargazing,Travi$ Scott,ASTROWORLD,01 Sep 2018,20:14
868,TABOO | TA13OO,Denzel Curry,TA13OO,01 Sep 2018,20:10
869,Kong,Neneh Cherry,Kong,01 Sep 2018,20:06
870,Jumpsuit,Twenty One Pilots,Jumpsuit / Levitate / Nico And The Niners,01 Sep 2018,20:02
871,Disarray,Low,Disarray,01 Sep 2018,19:58
872,God = Dog,Behemoth,God = Dog,01 Sep 2018,19:54
873,Think I'm Still In Love With You,Joyce Manor,Think I'm Still In Love With You,01 Sep 2018,19:51
874,Animal,Troye Sivan,Animal,01 Sep 2018,19:47
875,Drown,Cuco,Drown,01 Sep 2018,19:43
876,BLACK WALLS,Chromatics,Black Walls,01 Sep 2018,19:39
877,Nappy Wonder,Blood Orange,Negro Swan,01 Sep 2018,19:36
878,When I'm with Him,Empress Of,When I'm With Him,01 Sep 2018,19:33
879,LOADING ZONES,Kurt Vile,Loading Zones,01 Sep 2018,19:29
880,PERCS | PERCZ,Denzel Curry,TA13OO,01 Sep 2018,19:26
881,kick in the world,Harunemuri,kick in the world,01 Sep 2018,19:23
882,Scotty Pippen,YBN Cordae,Scotty Pippen,01 Sep 2018,19:21
883,The Echo Of The World,Cloud Nothings,The Echo of the World,01 Sep 2018,19:08
884,KV Crimes,Kurt Vile,Wakin On A Pretty Daze,01 Sep 2018,15:25
885,Wakin On A Pretty Day,Kurt Vile,Wakin On A Pretty Daze,01 Sep 2018,15:15
886,LOADING ZONES,Kurt Vile,Loading Zones,01 Sep 2018,15:11
887,Pretty Pimpin,Kurt Vile,b'lieve i'm goin down...,01 Sep 2018,15:06
888,Pretty Pimpin,Kurt Vile,b'lieve i'm goin down...,01 Sep 2018,14:43
889,Scotty Pippen,YBN Cordae,Scotty Pippen,01 Sep 2018,14:40
890,LOADING ZONES,Kurt Vile,Loading Zones,01 Sep 2018,14:33
891,Third of May / Ōdaigahara,Fleet Foxes,Crack-Up,01 Sep 2018,14:25
892,Kept Woman,Fleet Foxes,Crack-Up,01 Sep 2018,14:21
893,"- Naiads, Cassadies",Fleet Foxes,Crack-Up,01 Sep 2018,14:18
894,"Cassius, -",Fleet Foxes,Crack-Up,01 Sep 2018,14:13
895,I Am All That I Need / Arroyo Seco / Thumbprint Scar,Fleet Foxes,Crack-Up,01 Sep 2018,14:07
896,00000 Million,Bon Iver,"22, A Million",01 Sep 2018,14:03
897,____45_____,Bon Iver,"22, A Million",01 Sep 2018,13:58
898,8 (circle),Bon Iver,"22, A Million",01 Sep 2018,13:53
899,21 M◊◊N WATER,Bon Iver,"22, A Million",01 Sep 2018,13:50
900,666 ʇ,Bon Iver,"22, A Million",01 Sep 2018,13:46
901,29 #Strafford APTS,Bon Iver,"22, A Million",01 Sep 2018,13:42
902,33 “GOD”,Bon Iver,"22, A Million",01 Sep 2018,13:38
903,715 - CR∑∑KS,Bon Iver,"22, A Million",01 Sep 2018,13:36
904,10 d E A T h b R E a s T ⚄ ⚄,Bon Iver,"22, A Million",01 Sep 2018,13:34
905,22 (OVER S∞∞N),Bon Iver,"22, A Million",01 Sep 2018,13:31
906,Nappy Wonder,Blood Orange,Negro Swan,31 Aug 2018,20:34
907,I Was Born (A Unicorn),The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:30
908,Let's Get Known,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:28
909,Child Star,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:22
910,The Clap,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:21
911,Jellybones,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:18
912,Sea Ghost,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:14
913,Ghost Mountain,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:11
914,Tuff Ghost,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:08
915,I Don't Wanna Die,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),31 Aug 2018,20:06
916,Tombstone Blues,Bob Dylan,Highway 61 Revisited,31 Aug 2018,20:00
917,Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,31 Aug 2018,19:54
918,Singapore,Tom Waits,Rain Dogs,31 Aug 2018,19:49
919,Desolation Row,Bob Dylan,Highway 61 Revisited,31 Aug 2018,19:43
920,Highway 61 Revisited,Bob Dylan,Highway 61 Revisited,31 Aug 2018,15:23
921,Queen Jane Approximately,Bob Dylan,Highway 61 Revisited,31 Aug 2018,15:18
922,Ballad of a Thin Man,Bob Dylan,Highway 61 Revisited,31 Aug 2018,15:12
923,From a Buick 6,Bob Dylan,Highway 61 Revisited,31 Aug 2018,15:09
924,"It Takes a Lot to Laugh, It Takes a Train to Cry",Bob Dylan,Highway 61 Revisited,31 Aug 2018,15:05
925,Tombstone Blues,Bob Dylan,Highway 61 Revisited,31 Aug 2018,14:59
926,Like a Rolling Stone,Bob Dylan,Highway 61 Revisited,31 Aug 2018,14:48
927,Lucky You (feat. Joyner Lucas),Eminem,Kamikaze,31 Aug 2018,12:38
928,Kamikaze,Eminem,Kamikaze,31 Aug 2018,12:34
929,Child Star,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),30 Aug 2018,23:35
930,The Clap,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),30 Aug 2018,23:34
931,Jellybones,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),30 Aug 2018,23:31
932,Sea Ghost,The Unicorns,Who Will Cut Our Hair When We're Gone? (Remastered),30 Aug 2018,23:28
