Artist,Popularity,acousticness,danceability,energy,instrumentalness,liveness,speechiness,tempo,valence,no_albums
Against All Logic,43.81818181818182,0.17366018181818182,0.7579090909090909,0.7945454545454546,0.6456765454545454,0.14304545454545456,0.06189999999999998,113.09572727272729,0.3178181818181818,1
Alex Cameron,42.0,0.14637299999999998,0.6856000000000001,0.7708999999999999,0.01905072,0.11829999999999999,0.03337,119.51759999999999,0.7649999999999999,1
Alter Bridge,54.0,0.00499,0.27899999999999997,0.8059999999999999,0.0126,0.11599999999999999,0.0448,149.463,0.132,1
Alvvays,48.7,0.10879239999999998,0.33680000000000004,0.7210000000000001,0.185350301,0.25281000000000003,0.047099999999999996,140.78609999999998,0.3089,1
Animal Collective,33.27272727272727,0.15182518181818183,0.34745454545454546,0.823181818181818,0.09603481818181817,0.34042727272727275,0.09207272727272726,120.17036363636363,0.4068181818181818,1
Arca,34.46153846153846,0.4064823076923077,0.28192307692307694,0.4116923076923077,0.32711,0.1582923076923077,0.1039923076923077,113.77315384615385,0.13453076923076923,1
Arcade Fire,28.884615384615383,0.20545153846153846,0.44365384615384623,0.7320923076923076,0.19644604615384617,0.21041153846153848,0.04357307692307693,122.62715384615383,0.4288807692307692,2
Arctic Monkeys,43.972972972972975,0.0804836891891892,0.5064054054054054,0.7678648648648649,0.015138137297297297,0.1686702702702703,0.05524594594594595,128.2577837837838,0.5801756756756756,3
Avenged Sevenfold,54.45454545454545,0.0029287,0.38472727272727275,0.9162727272727273,0.0006822290909090908,0.23771818181818183,0.060090909090909084,142.24609090909095,0.41654545454545455,1
BROCKHAMPTON,51.74603174603175,0.3632573015873014,0.6203333333333335,0.5921587301587299,0.02856445063492063,0.26804920634920637,0.16996031746031742,110.96468253968253,0.5019253968253968,4
BTS,72.81818181818181,0.1680609090909091,0.6555454545454545,0.722090909090909,0.00027644545454545455,0.1304181818181818,0.10797272727272728,122.61336363636362,0.5353636363636364,1
Beach House,41.666666666666664,0.2496261904761905,0.371952380952381,0.6348605476190476,0.4626417676190476,0.1814904761904762,0.031823809523809525,123.44314285714286,0.26829523809523814,2
Bloc Party,43.0,0.024316699999999993,0.46146153846153837,0.846165846153846,0.25590634615384616,0.18771538461538467,0.09546153846153846,157.90284615384616,0.4376076923076923,1
Blood Orange,60.5625,0.43133750000000004,0.5741875,0.38837499999999997,0.094593188125,0.22326249999999997,0.07715000000000001,128.68606250000002,0.39271875,1
Bob Dylan,48.333333333333336,0.6653333333333333,0.4475555555555556,0.6685555555555555,1.0878888888888888e-05,0.2558777777777778,0.03625555555555556,105.48555555555555,0.5691111111111111,1
Bon Iver,34.21739130434783,0.8777826086956523,0.48139130434782595,0.28486956521739126,0.33707088304347826,0.15819565217391302,0.04489130434782609,113.22726086956523,0.23297826086956516,3
Bonobo,54.5,0.43881666666666663,0.5566666666666666,0.52,0.5530336225,0.1333,0.042874999999999996,110.77766666666666,0.14667500000000003,1
Brand New,35.833333333333336,0.22501702499999998,0.45550000000000007,0.6109999999999999,0.10834200416666666,0.21689583333333332,0.04197916666666667,120.45737500000001,0.22458333333333333,2
Bright Eyes,33.7,0.359418,0.4821,0.45709999999999995,0.00421271,0.13986,0.04977,102.36540000000001,0.44480000000000003,1
Calvin Harris,65.1,0.30052,0.7787,0.7487,0.000185151,0.13804,0.10573000000000002,106.2194,0.7028,1
Car Seat Headrest,47.54545454545455,0.17372363636363633,0.45122727272727287,0.521768181818182,0.07876739636363637,0.21930454545454542,0.04632727272727273,124.4434090909091,0.29763181818181816,2
Charli XCX,50.9,0.18908,0.6121,0.6103000000000001,0.000141684,0.17668,0.08503000000000001,123.70890000000001,0.39931,1
Charlie Lim,27.3,0.7051999999999999,0.5415000000000001,0.37833700000000003,0.21763462800000002,0.14597000000000002,0.053279999999999994,109.7499,0.26573,1
Chromatics,29.0,0.43232368750000005,0.5429375,0.6039124999999999,0.46733250000000004,0.1718875,0.0412,121.24706250000003,0.3594500000000001,1
Code Orange,36.54545454545455,0.04209283909090909,0.34436363636363637,0.7852727272727272,0.8326363636363637,0.18745454545454548,0.07932727272727273,119.86736363636363,0.2757909090909091,1
Counterparts,40.36363636363637,0.04943590909090909,0.29109090909090907,0.9422727272727275,0.08318181818181819,0.46154545454545454,0.20460909090909093,125.40236363636363,0.11212727272727273,1
Daft Punk,61.76923076923077,0.2879061538461538,0.6864615384615386,0.5858461538461538,0.37362027076923077,0.13287692307692306,0.04431538461538462,114.47107692307692,0.48823076923076913,1
David Bowie,58.0,0.0466,0.66,0.695,0.145,0.0854,0.028999999999999998,129.972,0.506,1
Deafheaven,39.89473684210526,0.1603691057894737,0.24900000000000003,0.7546842105263158,0.8501052631578946,0.18195789473684212,0.06590526315789474,115.7742105263158,0.1366578947368421,3
Death Cab for Cutie,49.54545454545455,0.28089781818181814,0.5353636363636364,0.5530909090909091,0.09046254545454545,0.18064545454545453,0.030572727272727272,118.18018181818182,0.3310363636363637,1
Deerhunter,45.18181818181818,0.2544934272727273,0.4387272727272728,0.643090909090909,0.4457918181818182,0.22236363636363637,0.036736363636363636,115.51827272727273,0.45172727272727276,1
Deftones,47.60606060606061,0.016348126363636365,0.3287878787878788,0.8557878787878788,0.25502586969696966,0.2132787878787879,0.07278787878787879,121.70342424242423,0.27041515151515144,3
Denzel Curry,67.0,0.14386153846153846,0.6737692307692308,0.665923076923077,0.0002612753846153846,0.22773846153846153,0.17814615384615384,128.03969230769232,0.4023307692307692,1
