acousticness,album,analysis_url,artist,danceability,date_added,duration_ms,energy,features,id,instrumentalness,key,liveness,loudness,mode,popularity,speechiness,tempo,time_signature,track,trackID,track_href,type,uri,valence
0.304,To Be Kind,https://api.spotify.com/v1/audio-analysis/4tttI5AR8UFExjrajvEFzn,Swans,0.193,2018-11-08,614965,0.642,4tttI5AR8UFExjrajvEFzn,4tttI5AR8UFExjrajvEFzn,0.866,2,0.0749,-9.614,1,22,0.0612,124.676,3,Nathalie Neal,4tttI5AR8UFExjrajvEFzn,https://api.spotify.com/v1/tracks/4tttI5AR8UFExjrajvEFzn,audio_features,spotify:track:4tttI5AR8UFExjrajvEFzn,0.0601
0.0589,To Be Kind,https://api.spotify.com/v1/audio-analysis/4Xuq7qkAItiEYDAYqwWTOp,Swans,0.286,2018-11-08,479072,0.918,4Xuq7qkAItiEYDAYqwWTOp,4Xuq7qkAItiEYDAYqwWTOp,0.0897,3,0.076,-7.46,1,28,0.114,156.338,4,Oxygen,4Xuq7qkAItiEYDAYqwWTOp,https://api.spotify.com/v1/tracks/4Xuq7qkAItiEYDAYqwWTOp,audio_features,spotify:track:4Xuq7qkAItiEYDAYqwWTOp,0.194
0.358,To Be Kind,https://api.spotify.com/v1/audio-analysis/3GYKvNFKsNjyGJE7BeVWUk,Swans,0.125,2018-11-08,632439,0.382,3GYKvNFKsNjyGJE7BeVWUk,3GYKvNFKsNjyGJE7BeVWUk,0.95,0,0.13,-12.279,1,22,0.0491,181.213,3,Kirsten Supine,3GYKvNFKsNjyGJE7BeVWUk,https://api.spotify.com/v1/tracks/3GYKvNFKsNjyGJE7BeVWUk,audio_features,spotify:track:3GYKvNFKsNjyGJE7BeVWUk,0.0625
0.151,To Be Kind,https://api.spotify.com/v1/audio-analysis/5SH4r0qP1mH7zj8BjR2Vq6,Swans,0.257,2018-11-08,1020807,0.822,5SH4r0qP1mH7zj8BjR2Vq6,5SH4r0qP1mH7zj8BjR2Vq6,0.348,2,0.121,-8.474,1,25,0.0733,117.926,4,She Loves Us,5SH4r0qP1mH7zj8BjR2Vq6,https://api.spotify.com/v1/tracks/5SH4r0qP1mH7zj8BjR2Vq6,audio_features,spotify:track:5SH4r0qP1mH7zj8BjR2Vq6,0.174
0.295,To Be Kind,https://api.spotify.com/v1/audio-analysis/54dxaHPpfknhsjA41MrXgx,Swans,0.205,2018-11-08,309132,0.311,54dxaHPpfknhsjA41MrXgx,54dxaHPpfknhsjA41MrXgx,0.675,7,0.298,-17.729,1,25,0.0397,142.873,4,Some Things We Do,54dxaHPpfknhsjA41MrXgx,https://api.spotify.com/v1/tracks/54dxaHPpfknhsjA41MrXgx,audio_features,spotify:track:54dxaHPpfknhsjA41MrXgx,0.161
0.311,To Be Kind,https://api.spotify.com/v1/audio-analysis/0uLDc0EDoz7zvJvw2akUFK,Swans,0.222,2018-11-08,2045259,0.529,0uLDc0EDoz7zvJvw2akUFK,0uLDc0EDoz7zvJvw2akUFK,0.751,2,0.103,-9.574,1,29,0.049,117.189,4,Bring The Sun/Toussaint L'Ouverture,0uLDc0EDoz7zvJvw2akUFK,https://api.spotify.com/v1/tracks/0uLDc0EDoz7zvJvw2akUFK,audio_features,spotify:track:0uLDc0EDoz7zvJvw2akUFK,0.0407
0.145,To Be Kind,https://api.spotify.com/v1/audio-analysis/4mrNM8xty1oKVGpYsm7zf8,Swans,0.474,2018-11-08,428173,0.647,4mrNM8xty1oKVGpYsm7zf8,4mrNM8xty1oKVGpYsm7zf8,0.00527,11,0.195,-9.201,1,34,0.0453,84.427,4,A Little God In My Hands,4mrNM8xty1oKVGpYsm7zf8,https://api.spotify.com/v1/tracks/4mrNM8xty1oKVGpYsm7zf8,audio_features,spotify:track:4mrNM8xty1oKVGpYsm7zf8,0.272
0.54,FM!,https://api.spotify.com/v1/audio-analysis/2jLVXSoCCuUDD6HUU6CaY5,Vince Staples,0.754,2018-11-07,22747,0.9470000000000001,2jLVXSoCCuUDD6HUU6CaY5,2jLVXSoCCuUDD6HUU6CaY5,0.0,8,0.195,-5.382999999999999,1,38,0.204,94.039,1,New earlsweatshirt - Interlude,2jLVXSoCCuUDD6HUU6CaY5,https://api.spotify.com/v1/tracks/2jLVXSoCCuUDD6HUU6CaY5,audio_features,spotify:track:2jLVXSoCCuUDD6HUU6CaY5,0.7859999999999999
0.0579,FM!,https://api.spotify.com/v1/audio-analysis/02sObHgWwieFWa9zWIi6gF,Vince Staples,0.772,2018-11-07,137813,0.82,02sObHgWwieFWa9zWIi6gF,02sObHgWwieFWa9zWIi6gF,0.0,2,0.546,-3.9610000000000003,1,65,0.23,160.03,4,Relay,02sObHgWwieFWa9zWIi6gF,https://api.spotify.com/v1/tracks/02sObHgWwieFWa9zWIi6gF,audio_features,spotify:track:02sObHgWwieFWa9zWIi6gF,0.254
0.19,FM!,https://api.spotify.com/v1/audio-analysis/5zEeiQbazUWskpZNhnh6i2,Vince Staples,0.852,2018-11-07,149027,0.617,5zEeiQbazUWskpZNhnh6i2,5zEeiQbazUWskpZNhnh6i2,6.11e-06,8,0.669,-6.307,1,69,0.22,99.992,4,Feels Like Summer,5zEeiQbazUWskpZNhnh6i2,https://api.spotify.com/v1/tracks/5zEeiQbazUWskpZNhnh6i2,audio_features,spotify:track:5zEeiQbazUWskpZNhnh6i2,0.621
0.28800000000000003,FM!,https://api.spotify.com/v1/audio-analysis/1FVUFtrQnIqgwEXrRb2Qrr,Vince Staples,0.91,2018-11-07,125120,0.813,1FVUFtrQnIqgwEXrRb2Qrr,1FVUFtrQnIqgwEXrRb2Qrr,0.0,6,0.11699999999999999,-4.0089999999999995,0,66,0.129,100.056,4,Outside!,1FVUFtrQnIqgwEXrRb2Qrr,https://api.spotify.com/v1/tracks/1FVUFtrQnIqgwEXrRb2Qrr,audio_features,spotify:track:1FVUFtrQnIqgwEXrRb2Qrr,0.6579999999999999
0.379,FM!,https://api.spotify.com/v1/audio-analysis/3NV4DUVDd2qubFtp4CgQ3p,Vince Staples,0.746,2018-11-07,148400,0.71,3NV4DUVDd2qubFtp4CgQ3p,3NV4DUVDd2qubFtp4CgQ3p,0.0,5,0.263,-5.042,1,66,0.0917,175.023,3,Don't Get Chipped,3NV4DUVDd2qubFtp4CgQ3p,https://api.spotify.com/v1/tracks/3NV4DUVDd2qubFtp4CgQ3p,audio_features,spotify:track:3NV4DUVDd2qubFtp4CgQ3p,0.612
0.77,FM!,https://api.spotify.com/v1/audio-analysis/4jpNXblh7YDEjbhyNo2uND,Vince Staples,0.5539999999999999,2018-11-07,52907,0.39899999999999997,4jpNXblh7YDEjbhyNo2uND,4jpNXblh7YDEjbhyNo2uND,0.0,1,0.905,-15.708,0,61,0.943,178.236,3,(562) 453-9382 - Skit,4jpNXblh7YDEjbhyNo2uND,https://api.spotify.com/v1/tracks/4jpNXblh7YDEjbhyNo2uND,audio_features,spotify:track:4jpNXblh7YDEjbhyNo2uND,0.8
0.0776,FM!,https://api.spotify.com/v1/audio-analysis/4iXyMgD3jJ2GnKJKBfs4fB,Vince Staples,0.847,2018-11-07,123507,0.82,4iXyMgD3jJ2GnKJKBfs4fB,4iXyMgD3jJ2GnKJKBfs4fB,0.0,9,0.387,-5.871,1,63,0.225,94.06299999999999,4,No Bleedin,4iXyMgD3jJ2GnKJKBfs4fB,https://api.spotify.com/v1/tracks/4iXyMgD3jJ2GnKJKBfs4fB,audio_features,spotify:track:4iXyMgD3jJ2GnKJKBfs4fB,0.5379999999999999
0.0444,FM!,https://api.spotify.com/v1/audio-analysis/3b0Voi6WMkuyX7EVa6QKgA,Vince Staples,0.9,2018-11-07,35213,0.41100000000000003,3b0Voi6WMkuyX7EVa6QKgA,3b0Voi6WMkuyX7EVa6QKgA,0.00023700000000000001,1,0.136,-8.742,1,62,0.21899999999999997,97.12899999999999,4,Brand New Tyga - Interlude,3b0Voi6WMkuyX7EVa6QKgA,https://api.spotify.com/v1/tracks/3b0Voi6WMkuyX7EVa6QKgA,audio_features,spotify:track:3b0Voi6WMkuyX7EVa6QKgA,0.401
0.397,FM!,https://api.spotify.com/v1/audio-analysis/6b6liLOZhXdOfFBFVN5KNK,Vince Staples,0.865,2018-11-07,186400,0.626,6b6liLOZhXdOfFBFVN5KNK,6b6liLOZhXdOfFBFVN5KNK,0.0,9,0.106,-5.428999999999999,0,64,0.207,133.94299999999998,4,Tweakin',6b6liLOZhXdOfFBFVN5KNK,https://api.spotify.com/v1/tracks/6b6liLOZhXdOfFBFVN5KNK,audio_features,spotify:track:6b6liLOZhXdOfFBFVN5KNK,0.249
0.258,FM!,https://api.spotify.com/v1/audio-analysis/2WhmaCir1p0bXaiOaRLe3C,Vince Staples,0.912,2018-11-07,188480,0.687,2WhmaCir1p0bXaiOaRLe3C,2WhmaCir1p0bXaiOaRLe3C,0.0,0,0.359,-4.34,1,65,0.0717,138.062,4,Run the Bands,2WhmaCir1p0bXaiOaRLe3C,https://api.spotify.com/v1/tracks/2WhmaCir1p0bXaiOaRLe3C,audio_features,spotify:track:2WhmaCir1p0bXaiOaRLe3C,0.506
0.62,FM!,https://api.spotify.com/v1/audio-analysis/41uX0L4bro4KfKtDIIEFFe,Vince Staples,0.953,2018-11-07,171107,0.5579999999999999,41uX0L4bro4KfKtDIIEFFe,41uX0L4bro4KfKtDIIEFFe,0.000661,0,0.105,-5.343,1,68,0.0702,100.988,4,FUN!,41uX0L4bro4KfKtDIIEFFe,https://api.spotify.com/v1/tracks/41uX0L4bro4KfKtDIIEFFe,audio_features,spotify:track:41uX0L4bro4KfKtDIIEFFe,0.49200000000000005
