track,artist,album,date_added,plays,popularity,acousticness,danceability,speechiness,tempo,time_signature,valence,energy,liveness,instrumentalness
Strangest Thing,The War On Drugs,A Deeper Understanding,2017-08-25,1,61,0.01,0.35,0.03,74,4,0.3,0.6,0.11,0.01
Lit Me Up,Brand New,Science Fiction,2017-08-23,1,45,0.81,0.47,0.03,110,4,0.12,0.31,0.11,0.35
The Ballad of the Costa Concordia,Car Seat Headrest,Teens Of Denial,2017-01-17,1,43,0.01,0.28,0.04,161,4,0.12,0.56,0.09,0.01
Waste,Brand New,Science Fiction,2017-08-23,1,45,0.0,0.58,0.03,122,4,0.32,0.76,0.35,0.02
CHICK,BROCKHAMPTON,SATURATION II,2017-08-25,1,56,0.35,0.46,0.26,150,4,0.58,0.71,0.31,0.0
JESUS,BROCKHAMPTON,SATURATION II,2017-08-25,1,56,0.72,0.61,0.08,101,4,0.35,0.37,0.14,0.0
Evan Finds the Third Room,Khruangbin,Con Todo El Mundo,2018-02-01,1,16,0.01,0.78,0.08,105,4,0.84,0.38,0.17,0.67
A Hymn,Khruangbin,Con Todo El Mundo,2018-02-01,1,11,0.26,0.41,0.05,164,5,0.14,0.22,0.12,0.94
Shades of Man,Khruangbin,Con Todo El Mundo,2018-02-01,1,13,0.05,0.66,0.06,82,4,0.78,0.49,0.74,0.82
Cómo Te Quiero,Khruangbin,Con Todo El Mundo,2018-02-01,1,12,0.63,0.6,0.03,126,4,0.43,0.27,0.43,0.9
Maria También,Khruangbin,Con Todo El Mundo,2018-02-01,1,17,0.0,0.74,0.05,103,4,0.87,0.63,0.52,0.88
Roland,Interpol,Turn On The Bright Lights: The Tenth Anniversary Edition (Remastered),2018-02-10,1,39,0.0,0.27,0.06,145,4,0.27,0.97,0.09,0.7
NEW ORLEANS,BROCKHAMPTON,iridescence,2018-09-20,1,76,0.23,0.64,0.25,159,4,0.4,0.82,0.3,0.0
I Don't Love You,My Chemical Romance,The Black Parade,2015-01-22,1,68,0.01,0.29,0.05,169,4,0.33,0.8,0.2,0.0
Stædelil (Arr. For String Quartet),Traditional,Last Leaf,2017-12-12,1,1,0.97,0.35,0.04,61,4,0.35,0.21,0.05,0.81
A Certain Romance,Arctic Monkeys,"Whatever People Say I Am, That's What I'm Not",2016-10-09,1,4,0.0,0.46,0.04,137,4,0.2,0.88,0.11,0.0
Intermezzo,Fredrik Sjölin,Last Leaf,2017-12-12,1,1,0.94,0.4,0.05,138,4,0.03,0.03,0.21,0.42
